fund_code,name,trade_date,prev_trade_date,share_change,share_change_pct,confirmed_at,confirm_note
561570.SH,华泰柏瑞中证油气产业ETF,20260303,20260302,15000.0,0.9858886471635984,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
512240.SH,鹏华中证A50ETF,20260309,20260306,-2550.0000000000005,-0.5581578601759839,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560190.SH,鹏华中证全指公用事业ETF,20260316,20260313,-2499.9999999999995,-0.5067499087850164,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
512760.SH,国泰CES半导体芯片行业ETF,20260326,20260325,570272.27,1.0106331468205385,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
516130.SH,华宝中证消费龙头ETF,20260327,20260326,90100.0,3.453562804247001,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
513660.SH,华夏沪港通恒生ETF,20260420,20260417,142600.01,1.0,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560660.SH,新华中证云计算50ETF,20260424,20260423,5996.9,1.0,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159253.SZ,博时中证银行ETF,20260508,20260507,50220.0,5.642380972866698,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
515050.SH,华夏中证5G通信主题ETF,20260512,20260511,736213.6928,2.026423924569548,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
561060.SH,华安中证国有企业红利ETF,20260514,20260513,11550.0,2.156258751050126,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159717.SZ,鹏华国证ESG300ETF,20260612,20260611,2500.0,0.9852922276247328,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
561330.SH,国泰中证有色金属矿业主题ETF,20260624,20260623,91569.603,1.0155262177578452,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560780.SH,广发中证半导体材料设备主题ETF,20260625,20260624,449199.20000000007,2.169524597004776,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
561980.SH,招商中证半导体产业ETF,20260625,20260624,560344.0,4.270556584432708,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
